"Source","Target","論文ID","論文タイトル","所属1","所属2","発行日"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-00844-6","Photoacoustic molecular imaging-escorted adipose photodynamic–browning synergy for fighting obesity with virus-like complexes","","","2021/04/19"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-022-01112-5","A high-performance hydroxide exchange membrane enabled by Cu2+-crosslinked chitosan","","","2021/02/23"
"5 ポリマー・高分子・有機材料・有機半導体","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-022-01112-5","A high-performance hydroxide exchange membrane enabled by Cu2+-crosslinked chitosan","","","2021/02/23"
"1 材料合成・薄膜形成","11 機械/熱/環境特性・耐久・リサイクル","https://doi.org/10.1038/s41565-022-01112-5","A high-performance hydroxide exchange membrane enabled by Cu2+-crosslinked chitosan","","","2021/02/23"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-022-01256-4","Versatile full-colour nanopainting enabled by a pixelated plasmonic metasurface","","","2022/10/01"
"4 金属・合金・ナノ粒子・触媒材料","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-022-01256-4","Versatile full-colour nanopainting enabled by a pixelated plasmonic metasurface","","","2022/10/01"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-022-01256-4","Versatile full-colour nanopainting enabled by a pixelated plasmonic metasurface","","","2022/10/01"
"2 デバイス・機能材料の設計・開発・動作・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-022-01189-y","Remotely controlled near-infrared-triggered photothermal treatment of brain tumours in freely behaving mice using gold nanostar﻿s","","","2020/05/07"
"4 金属・合金・ナノ粒子・触媒材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-022-01189-y","Remotely controlled near-infrared-triggered photothermal treatment of brain tumours in freely behaving mice using gold nanostar﻿s","","","2020/05/07"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-022-01189-y","Remotely controlled near-infrared-triggered photothermal treatment of brain tumours in freely behaving mice using gold nanostar﻿s","","","2020/05/07"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-024-01618-0","Photothermal therapy of tuberculosis using targeting pre-activated macrophage membrane-coated nanoparticles","","","2023/09/18"
"4 金属・合金・ナノ粒子・触媒材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-024-01618-0","Photothermal therapy of tuberculosis using targeting pre-activated macrophage membrane-coated nanoparticles","","","2023/09/18"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-024-01618-0","Photothermal therapy of tuberculosis using targeting pre-activated macrophage membrane-coated nanoparticles","","","2023/09/18"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-022-01071-x","Applying lessons learned from nanomedicines to understand rare hypersensitivity reactions to mRNA-based SARS-CoV-2 vaccines","","","2025/01/31"
"6 リポソーム・LNP・バイオナノ材料","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-022-01071-x","Applying lessons learned from nanomedicines to understand rare hypersensitivity reactions to mRNA-based SARS-CoV-2 vaccines","","","2025/01/31"
"13 レビュー・総説・動向分析・社会データ","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-022-01071-x","Applying lessons learned from nanomedicines to understand rare hypersensitivity reactions to mRNA-based SARS-CoV-2 vaccines","","","2025/01/31"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00971-8","Acoustically triggered mechanotherapy using genetically encoded gas vesicles","","","2022/12/31"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-021-00971-8","Acoustically triggered mechanotherapy using genetically encoded gas vesicles","","","2022/12/31"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00971-8","Acoustically triggered mechanotherapy using genetically encoded gas vesicles","","","2022/12/31"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00870-y","Computationally guided high-throughput design of self-assembling drug nanoparticles","","","2024/11/14"
"6 リポソーム・LNP・バイオナノ材料","6 シミュレーション・理論・データ駆動型手法","https://doi.org/10.1038/s41565-021-00870-y","Computationally guided high-throughput design of self-assembling drug nanoparticles","","","2024/11/14"
"6 シミュレーション・理論・データ駆動型手法","9 ナノ粒子/ナノ構造・表面/界面・自己組織化","https://doi.org/10.1038/s41565-021-00870-y","Computationally guided high-throughput design of self-assembling drug nanoparticles","","","2024/11/14"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-021-00848-w","Layer-by-layer anionic diffusion in two-dimensional halide perovskite vertical heterostructures","","","2025/07/21"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-021-00848-w","Layer-by-layer anionic diffusion in two-dimensional halide perovskite vertical heterostructures","","","2025/07/21"
"10 マルチモーダル・複合的解析・統合手法","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-021-00848-w","Layer-by-layer anionic diffusion in two-dimensional halide perovskite vertical heterostructures","","","2025/07/21"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-021-00867-7","Challenges and potential solutions for nanosensors intended for use with foods","","","2023/06/26"
"14 その他（複合材料・特殊構造体等）","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-021-00867-7","Challenges and potential solutions for nanosensors intended for use with foods","","","2023/06/26"
"13 レビュー・総説・動向分析・社会データ","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-021-00867-7","Challenges and potential solutions for nanosensors intended for use with foods","","","2023/06/26"
"2 デバイス・機能材料の設計・開発・動作・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01354-x","Layered materials as a platform for quantum technologies","","","2021/10/13"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-023-01354-x","Layered materials as a platform for quantum technologies","","","2021/10/13"
"10 マルチモーダル・複合的解析・統合手法","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01354-x","Layered materials as a platform for quantum technologies","","","2021/10/13"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-023-01580-3","Inhalable extracellular vesicle delivery of IL-12 mRNA to treat lung cancer and promote systemic immunity","","","2021/11/04"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-023-01580-3","Inhalable extracellular vesicle delivery of IL-12 mRNA to treat lung cancer and promote systemic immunity","","","2021/11/04"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01580-3","Inhalable extracellular vesicle delivery of IL-12 mRNA to treat lung cancer and promote systemic immunity","","","2021/11/04"
"6 環境・安全性・リスク評価・サステナビリティ・規制・社会実装","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00928-x","Conformation-sensitive targeting of lipid nanoparticles for RNA therapeutics","","","2024/03/02"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-021-00928-x","Conformation-sensitive targeting of lipid nanoparticles for RNA therapeutics","","","2024/03/02"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00928-x","Conformation-sensitive targeting of lipid nanoparticles for RNA therapeutics","","","2024/03/02"
"2 デバイス・機能材料の設計・開発・動作・応用","9 バッテリー材料・電極・電解質","https://doi.org/10.1038/s41565-021-01036-6","Interfacial-engineering-enabled practical low-temperature sodium metal battery","","","2023/11/03"
"9 バッテリー材料・電極・電解質","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-021-01036-6","Interfacial-engineering-enabled practical low-temperature sodium metal battery","","","2023/11/03"
"1 材料合成・薄膜形成","4 材料の安定性・耐久性・分散・リサイクル性等","https://doi.org/10.1038/s41565-021-01036-6","Interfacial-engineering-enabled practical low-temperature sodium metal battery","","","2023/11/03"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","11 セラミックス・酸化物・誘電体・光学材料","https://doi.org/10.1038/s41565-021-00874-8","Energy-efficient Mott activation neuron for full-hardware implementation of neural networks","","","2022/10/25"
"11 セラミックス・酸化物・誘電体・光学材料","8 デバイス動作・システムレベル評価・応用","https://doi.org/10.1038/s41565-021-00874-8","Energy-efficient Mott activation neuron for full-hardware implementation of neural networks","","","2022/10/25"
"8 デバイス動作・システムレベル評価・応用","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-021-00874-8","Energy-efficient Mott activation neuron for full-hardware implementation of neural networks","","","2022/10/25"
"11 界面・表面・ナノスケール構造・ダイナミクスの可視化・制御・解析","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-022-01234-w","Hierarchically self-assembled homochiral helical microtoroids","","","2020/12/12"
"5 ポリマー・高分子・有機材料・有機半導体","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-022-01234-w","Hierarchically self-assembled homochiral helical microtoroids","","","2020/12/12"
"3 構造評価・表面分析・顕微鏡観察","9 ナノ粒子/ナノ構造・表面/界面・自己組織化","https://doi.org/10.1038/s41565-022-01234-w","Hierarchically self-assembled homochiral helical microtoroids","","","2020/12/12"
"2 デバイス・機能材料の設計・開発・動作・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-022-01257-3","Phase-controllable large-area two-dimensional In2Se3 and ferroelectric heterophase junction","","","2023/12/07"
"1 二次元材料・層状材料・グラフェン・TMDs関連","1 材料合成・薄膜形成","https://doi.org/10.1038/s41565-022-01257-3","Phase-controllable large-area two-dimensional In2Se3 and ferroelectric heterophase junction","","","2023/12/07"
"1 材料合成・薄膜形成","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-022-01257-3","Phase-controllable large-area two-dimensional In2Se3 and ferroelectric heterophase junction","","","2023/12/07"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01343-0","An in-memory computing architecture based on a duplex two-dimensional material structure for in situ machine learning","","","2025/02/06"
"1 二次元材料・層状材料・グラフェン・TMDs関連","8 デバイス動作・システムレベル評価・応用","https://doi.org/10.1038/s41565-023-01343-0","An in-memory computing architecture based on a duplex two-dimensional material structure for in situ machine learning","","","2025/02/06"
"8 デバイス動作・システムレベル評価・応用","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01343-0","An in-memory computing architecture based on a duplex two-dimensional material structure for in situ machine learning","","","2025/02/06"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-023-01383-6","Hierarchically resistive skins as specific and multimetric on-throat wearable biosensors","","","2022/08/20"
"14 その他（複合材料・特殊構造体等）","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-023-01383-6","Hierarchically resistive skins as specific and multimetric on-throat wearable biosensors","","","2022/08/20"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-023-01383-6","Hierarchically resistive skins as specific and multimetric on-throat wearable biosensors","","","2022/08/20"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-021-00852-0","Optical tweezers beyond refractive index mismatch using highly doped upconversion nanoparticles","","","2023/02/19"
"4 金属・合金・ナノ粒子・触媒材料","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-021-00852-0","Optical tweezers beyond refractive index mismatch using highly doped upconversion nanoparticles","","","2023/02/19"
"11 ナノ粒子・ナノ構造評価と応用","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-021-00852-0","Optical tweezers beyond refractive index mismatch using highly doped upconversion nanoparticles","","","2023/02/19"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-022-01101-8","Migrating photon avalanche in different emitters at the nanoscale enables 46th-order optical nonlinearity","","","2024/07/19"
"4 金属・合金・ナノ粒子・触媒材料","4 分光・物性評価・組成/化学分析","https://doi.org/10.1038/s41565-022-01101-8","Migrating photon avalanche in different emitters at the nanoscale enables 46th-order optical nonlinearity","","","2024/07/19"
"4 分光・物性評価・組成/化学分析","6 発光・フォトニクス・スペクトル・非線形光学特性","https://doi.org/10.1038/s41565-022-01101-8","Migrating photon avalanche in different emitters at the nanoscale enables 46th-order optical nonlinearity","","","2024/07/19"
"2 デバイス・機能材料の設計・開発・動作・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-023-01374-7","Neutrophil hitchhiking for drug delivery to the bone marrow","","","2023/03/06"
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-023-01374-7","Neutrophil hitchhiking for drug delivery to the bone marrow","","","2023/03/06"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-023-01374-7","Neutrophil hitchhiking for drug delivery to the bone marrow","","","2023/03/06"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-021-00975-4","Chemical engines: driving systems away from equilibrium through catalyst reaction cycles","","","2023/04/30"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-021-00975-4","Chemical engines: driving systems away from equilibrium through catalyst reaction cycles","","","2023/04/30"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-021-00975-4","Chemical engines: driving systems away from equilibrium through catalyst reaction cycles","","","2023/04/30"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-023-01534-9","Microplastic fragmentation by rotifers in aquatic ecosystems contributes to global nanoplastic pollution","","","2025/04/19"
"5 ポリマー・高分子・有機材料・有機半導体","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-023-01534-9","Microplastic fragmentation by rotifers in aquatic ecosystems contributes to global nanoplastic pollution","","","2025/04/19"
"3 構造評価・表面分析・顕微鏡観察","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-023-01534-9","Microplastic fragmentation by rotifers in aquatic ecosystems contributes to global nanoplastic pollution","","","2025/04/19"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-021-00958-5","Nanopore electro-osmotic trap for the label-free study of single proteins and their conformations","","","2024/01/07"
"14 その他（複合材料・特殊構造体等）","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-021-00958-5","Nanopore electro-osmotic trap for the label-free study of single proteins and their conformations","","","2024/01/07"
"5 電気・電子・磁気・光学的測定","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-021-00958-5","Nanopore electro-osmotic trap for the label-free study of single proteins and their conformations","","","2024/01/07"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-022-01129-w","Characterization of nanoparticles-based vaccines for COVID-19","","","2020/01/24"
"6 リポソーム・LNP・バイオナノ材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-022-01129-w","Characterization of nanoparticles-based vaccines for COVID-19","","","2020/01/24"
"10 マルチモーダル・複合的解析・統合手法","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-022-01129-w","Characterization of nanoparticles-based vaccines for COVID-19","","","2020/01/24"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-023-01446-8","Reconfigurable, non-volatile neuromorphic photovoltaics","","","2021/09/01"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-023-01446-8","Reconfigurable, non-volatile neuromorphic photovoltaics","","","2021/09/01"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01446-8","Reconfigurable, non-volatile neuromorphic photovoltaics","","","2021/09/01"
"8 理論・計算・機構解明・モデリング・記述子・基礎科学の深化","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-021-01061-5","Robotic four-dimensional pixel assembly of van der Waals solids","","","2025/10/10"
"1 二次元材料・層状材料・グラフェン・TMDs関連","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-021-01061-5","Robotic four-dimensional pixel assembly of van der Waals solids","","","2025/10/10"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","15 多機能・複合・システム・統合評価","https://doi.org/10.1038/s41565-021-01061-5","Robotic four-dimensional pixel assembly of van der Waals solids","","","2025/10/10"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-022-01174-5","Nanotechnology-based strategies against SARS-CoV-2 variants","","","2025/04/13"
"14 その他（複合材料・特殊構造体等）","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-022-01174-5","Nanotechnology-based strategies against SARS-CoV-2 variants","","","2025/04/13"
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-022-01174-5","Nanotechnology-based strategies against SARS-CoV-2 variants","","","2025/04/13"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-023-01441-z","Minimizing heat generation in quantum dot light-emitting diodes by increasing quasi-Fermi-level splitting","","","2020/06/01"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-023-01441-z","Minimizing heat generation in quantum dot light-emitting diodes by increasing quasi-Fermi-level splitting","","","2020/06/01"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01441-z","Minimizing heat generation in quantum dot light-emitting diodes by increasing quasi-Fermi-level splitting","","","2020/06/01"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","2 ペロブスカイト・量子ドット・ナノ結晶材料","https://doi.org/10.1038/s41565-022-01131-2","Quantum interference of identical photons from remote GaAs quantum dots","","","2020/04/22"
"2 ペロブスカイト・量子ドット・ナノ結晶材料","5 電気・電子・磁気・光学的測定","https://doi.org/10.1038/s41565-022-01131-2","Quantum interference of identical photons from remote GaAs quantum dots","","","2020/04/22"
"5 電気・電子・磁気・光学的測定","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-022-01131-2","Quantum interference of identical photons from remote GaAs quantum dots","","","2020/04/22"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-022-01185-2","Doping-driven topological polaritons in graphene/α-MoO3 heterostructures","","","2024/11/27"
"1 二次元材料・層状材料・グラフェン・TMDs関連","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-022-01185-2","Doping-driven topological polaritons in graphene/α-MoO3 heterostructures","","","2024/11/27"
"10 マルチモーダル・複合的解析・統合手法","2 磁気・スピン・フォトニック・集積化デバイス","https://doi.org/10.1038/s41565-022-01185-2","Doping-driven topological polaritons in graphene/α-MoO3 heterostructures","","","2024/11/27"
"4 触媒・電池・エネルギー材料・エネルギー変換技術の開発・性能向上","8 メモリ・電子デバイス・半導体素子","https://doi.org/10.1038/s41565-023-01491-3","Shared control of a 16 semiconductor quantum dot crossbar array","","","2024/09/11"
"8 メモリ・電子デバイス・半導体素子","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-023-01491-3","Shared control of a 16 semiconductor quantum dot crossbar array","","","2024/09/11"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01491-3","Shared control of a 16 semiconductor quantum dot crossbar array","","","2024/09/11"
"2 デバイス・機能材料の設計・開発・動作・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-022-01085-5","A transistor-like pH-sensitive nanodetergent for selective cancer therapy","","","2020/12/24"
"6 リポソーム・LNP・バイオナノ材料","11 ナノ粒子・ナノ構造評価と応用","https://doi.org/10.1038/s41565-022-01085-5","A transistor-like pH-sensitive nanodetergent for selective cancer therapy","","","2020/12/24"
"11 ナノ粒子・ナノ構造評価と応用","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-022-01085-5","A transistor-like pH-sensitive nanodetergent for selective cancer therapy","","","2020/12/24"
"9 自己組織化・自己集合・分子機械・ナノロボティクス・分子デバイスの設計と制御","5 ポリマー・高分子・有機材料・有機半導体","https://doi.org/10.1038/s41565-022-01133-0","Nanostructured block copolymer muscles","","","2021/06/19"
"5 ポリマー・高分子・有機材料・有機半導体","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-022-01133-0","Nanostructured block copolymer muscles","","","2021/06/19"
"10 マルチモーダル・複合的解析・統合手法","11 機械/熱/環境特性・耐久・リサイクル","https://doi.org/10.1038/s41565-022-01133-0","Nanostructured block copolymer muscles","","","2021/06/19"
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-021-01070-4","Non-oxidized bare copper nanoparticles with surface excess electrons in air","","","2023/04/19"
"4 金属・合金・ナノ粒子・触媒材料","10 マルチモーダル・複合的解析・統合手法","https://doi.org/10.1038/s41565-021-01070-4","Non-oxidized bare copper nanoparticles with surface excess electrons in air","","","2023/04/19"
"10 マルチモーダル・複合的解析・統合手法","3 構造・組成・形態・界面・表面特性","https://doi.org/10.1038/s41565-021-01070-4","Non-oxidized bare copper nanoparticles with surface excess electrons in air","","","2023/04/19"
"2 デバイス・機能材料の設計・開発・動作・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-022-01154-9","Fischer–Tropsch synthesis to olefins boosted by MFI zeolite nanosheets","","","2024/02/02"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-022-01154-9","Fischer–Tropsch synthesis to olefins boosted by MFI zeolite nanosheets","","","2024/02/02"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-022-01154-9","Fischer–Tropsch synthesis to olefins boosted by MFI zeolite nanosheets","","","2024/02/02"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-022-01274-2","In vivo surface-enhanced Raman scattering nanosensor for the real-time monitoring of multiple stress signalling molecules in plants","","","2023/04/28"
"4 金属・合金・ナノ粒子・触媒材料","4 分光・物性評価・組成/化学分析","https://doi.org/10.1038/s41565-022-01274-2","In vivo surface-enhanced Raman scattering nanosensor for the real-time monitoring of multiple stress signalling molecules in plants","","","2023/04/28"
"4 分光・物性評価・組成/化学分析","10 計測技術・センシング・検出・イメージング","https://doi.org/10.1038/s41565-022-01274-2","In vivo surface-enhanced Raman scattering nanosensor for the real-time monitoring of multiple stress signalling molecules in plants","","","2023/04/28"
"7 センシング・バイオセンシング・イメージング・計測技術の開発・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-023-01342-1","Highly reproducible van der Waals integration of two-dimensional electronics on the wafer scale","","","2025/06/19"
"1 二次元材料・層状材料・グラフェン・TMDs関連","2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","https://doi.org/10.1038/s41565-023-01342-1","Highly reproducible van der Waals integration of two-dimensional electronics on the wafer scale","","","2025/06/19"
"2 デバイス作製・パターニング・マイクロ/ナノファブリケーション","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-023-01342-1","Highly reproducible van der Waals integration of two-dimensional electronics on the wafer scale","","","2025/06/19"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-023-01344-z","Designing single-site alloy catalysts using a degree-of-isolation descriptor","","","2021/03/19"
"4 金属・合金・ナノ粒子・触媒材料","6 シミュレーション・理論・データ駆動型手法","https://doi.org/10.1038/s41565-023-01344-z","Designing single-site alloy catalysts using a degree-of-isolation descriptor","","","2021/03/19"
"6 シミュレーション・理論・データ駆動型手法","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-023-01344-z","Designing single-site alloy catalysts using a degree-of-isolation descriptor","","","2021/03/19"
"5 ナノバイオ・ナノメディシン・ドラッグデリバリー・診断治療の設計・応用","4 金属・合金・ナノ粒子・触媒材料","https://doi.org/10.1038/s41565-024-01614-4","Developing high-power Li||S batteries via transition metal/carbon nanocomposite electrocatalyst engineering","","","2021/12/05"
"4 金属・合金・ナノ粒子・触媒材料","9 化学反応・触媒・電気化学的評価","https://doi.org/10.1038/s41565-024-01614-4","Developing high-power Li||S batteries via transition metal/carbon nanocomposite electrocatalyst engineering","","","2021/12/05"
"9 化学反応・触媒・電気化学的評価","5 化学反応性・触媒活性・電気化学特性","https://doi.org/10.1038/s41565-024-01614-4","Developing high-power Li||S batteries via transition metal/carbon nanocomposite electrocatalyst engineering","","","2021/12/05"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","1 二次元材料・層状材料・グラフェン・TMDs関連","https://doi.org/10.1038/s41565-022-01180-7","A tunable bilayer Hubbard model in twisted WSe2","","","2023/08/26"
